Jabatan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
bantuan_sppd,30000000,30000000,,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000
bantuan_sppd_luar_negeri,,42600000,,,,,,,,42600000,,
